cases,name
746,"Afghanistan"
788,"Albania"
464,"Algeria"
50,"Andorra"
27,"Angola"
0,"Anguilla"
0,"Antigua_and_Barbuda"
3558,"Argentina"
357,"Armenia"
5,"Aruba"
6,"Australia"
3005,"Austria"
4451,"Azerbaijan"
15,"Bahamas"
178,"Bahrain"
1355,"Bangladesh"
0,"Barbados"
1961,"Belarus"
2,"Belgium"
122,"Belize"
0,"Benin"
40,"Bermuda"
1,"Bhutan"
120,"Bolivia"
0,"Bonaire"
811,"Bosnia_and_Herzegovina"
0,"Botswana"
21825,"Brazil"
0,"British_Virgin_Islands"
0,"Brunei_Darussalam"
497,"Bulgaria"
136,"Burkina_Faso"
1,"Burundi"
0,"Cambodia"
0,"Cameroon"
5891,"Canada"
55,"Cape_Verde"
0,"Cayman_Islands"
0,"Central_African_Republic"
19,"Chad"
2138,"Chile"
12,"China"
8702,"Colombia"
0,"Comoros"
0,"Congo"
0,"Costa_Rica"
41,"Cote_dIvoire"
3363,"Croatia"
69,"Cuba"
48,"Curaçao"
301,"Cyprus"
2000,"Czechia"
52,"Democratic_Republic_of_the_Congo"
2642,"Denmark"
3,"Djibouti"
0,"Dominica"
1107,"Dominican_Republic"
586,"Ecuador"
486,"Egypt"
486,"El_Salvador"
0,"Equatorial_Guinea"
0,"Eritrea"
342,"Estonia"
54,"Eswatini"
472,"Ethiopia"
0,"Falkland_Islands_(Malvinas)"
3,"Faroe_Islands"
2,"Fiji"
360,"Finland"
11533,"France"
0,"French_Polynesia"
0,"Gabon"
2,"Gambia"
1337,"Georgia"
16362,"Germany"
81,"Ghana"
3,"Gibraltar"
692,"Greece"
0,"Greenland"
26,"Grenada"
16,"Guam"
183,"Guatemala"
0,"Guernsey"
0,"Guinea"
0,"Guinea_Bissau"
41,"Guyana"
74,"Haiti"
0,"Holy_See"
316,"Honduras"
3470,"Hungary"
5,"Iceland"
27071,"India"
6189,"Indonesia"
7451,"Iran"
1012,"Iraq"
429,"Ireland"
0,"Isle_of_Man"
1844,"Israel"
17937,"Italy"
102,"Jamaica"
2366,"Japan"
91,"Jersey"
2339,"Jordan"
764,"Kazakhstan"
366,"Kenya"
462,"Kosovo"
174,"Kuwait"
318,"Kyrgyzstan"
0,"Laos"
629,"Latvia"
1275,"Lebanon"
0,"Lesotho"
0,"Liberia"
899,"Libya"
12,"Liechtenstein"
1920,"Lithuania"
517,"Luxembourg"
0,"Madagascar"
3,"Malawi"
1229,"Malaysia"
20,"Maldives"
93,"Mali"
0,"Malta"
0,"Marshall_Islands"
0,"Mauritania"
0,"Mauritius"
8608,"Mexico"
795,"Moldova"
0,"Monaco"
5,"Mongolia"
478,"Montenegro"
0,"Montserrat"
2012,"Morocco"
142,"Mozambique"
1127,"Myanmar"
267,"Namibia"
830,"Nepal"
9868,"Netherlands"
0,"New_Caledonia"
0,"New_Zealand"
0,"Nicaragua"
59,"Niger"
418,"Nigeria"
613,"North_Macedonia"
0,"Northern_Mariana_Islands"
0,"Norway"
571,"Oman"
2362,"Pakistan"
1639,"Palestine"
2422,"Panama"
5,"Papua_New_Guinea"
669,"Paraguay"
1928,"Peru"
1069,"Philippines"
8976,"Poland"
4044,"Portugal"
1104,"Puerto_Rico"
0,"Qatar"
4435,"Romania"
28080,"Russia"
131,"Rwanda"
0,"Saint_Kitts_and_Nevis"
1,"Saint_Lucia"
4,"Saint_Vincent_and_the_Grenadines"
15,"San_Marino"
0,"Sao_Tome_and_Principe"
139,"Saudi_Arabia"
78,"Senegal"
4995,"Serbia"
0,"Seychelles"
0,"Sierra_Leone"
0,"Sint_Maarten"
5897,"Slovakia"
833,"Slovenia"
0,"Solomon_Islands"
0,"Somalia"
7999,"South_Africa"
718,"South_Korea"
0,"South_Sudan"
655,"Sri_Lanka"
239,"Sudan"
4,"Suriname"
0,"Sweden"
0,"Switzerland"
125,"Syria"
4,"Taiwan"
38,"Tajikistan"
28,"Thailand"
0,"Timor_Leste"
30,"Togo"
15,"Trinidad_and_Tobago"
968,"Tunisia"
29136,"Turkey"
0,"Turks_and_Caicos_islands"
461,"Uganda"
15627,"Ukraine"
1194,"United_Arab_Emirates"
18447,"United_Kingdom"
0,"United_Republic_of_Tanzania"
189723,"United_States_of_America"
0,"United_States_Virgin_Islands"
528,"Uruguay"
138,"Uzbekistan"
0,"Vanuatu"
462,"Venezuela"
2,"Vietnam"
0,"Wallis_and_Futuna"
0,"Western_Sahara"
0,"Yemen"
57,"Zambia"
27,"Zimbabwe"
